temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,359.25,-7.06,99.37,-1.12,0.5,0.19,0.46,0.23,0.06,0.5177837386399847,1.241168803990819,0.4602821324364272,-1.4410937896389846,79.0,14.500000000000002,11.5,81.13877001779113,0
0.0,0.0,0.0,0.0,359.31,-7.06,99.37,0.56,2.87,0.62,-0.53,0.15,-0.29,0.6224949798994367,2.9891303083003926,0.2433608496063486,2.0714640516696328,-49.5,-4.000000000000001,-17.5,52.65453446760307,0
0.0,0.0,0.0,0.0,359.5,-7.06,99.44,-0.25,3.69,0.56,-0.06,0.28,0.36,0.46,3.740614922709901,0.6544155622491767,0.1651486774146268,23.5,6.500000000000002,32.49999999999999,40.6294228361664,0
0.0,0.0,0.0,0.0,359.69,-7.06,99.44,0.0,2.69,0.44,0.31,0.2,0.14,0.3945883931389771,2.7257476038694413,0.5315351471915271,-1.14660191889113,18.5,-4.000000000000001,-10.999999999999998,21.891779278989635,0
0.0,0.0,0.0,0.0,359.75,-7.06,99.44,0.13,0.37,0.13,-0.08,0.17,0.15,0.2404163056034261,0.4131585652022719,0.7853981633974484,0.4899573262537283,-19.5,-1.5,0.499999999999999,19.56399754651385,0
0.0,0.0,0.0,0.0,359.75,-7.06,99.44,0.19,-0.19,0.0,0.05,0.19,-0.05,0.2027313493271329,0.268700576850888,1.2145165556254367,-2.356194490192345,6.5,0.9999999999999994,-10.0,11.968709203585824,0
0.0,0.0,0.0,0.0,359.75,-7.06,99.44,0.13,-0.37,-0.06,-0.02,0.13,-0.22,0.2563201123595259,0.3967366884975474,0.5319075922771425,3.050932766389048,-3.5000000000000004,-3.0,-8.499999999999998,9.669539802906856,0
0.0,0.0,0.0,0.0,0.0,-7.06,98.44,0.06,1.06,0.19,0.02,0.12,0.44,0.4565084884205331,1.078563859954523,0.2659901983580081,-0.045423279421577,2.0,-0.5000000000000004,33.0,33.06433123473088,0
0.0,0.0,0.0,0.0,0.06,-7.06,98.25,0.0,0.62,0.0,0.0,0.13,0.47,0.4876474136094643,0.62,0.2698491559384692,-0.0,-1.0,0.5000000000000004,1.4999999999999984,1.8708286933869696,0
0.0,0.0,0.0,0.0,0.06,-7.06,98.12,-0.19,0.31,0.13,0.03,0.19,0.36,0.408166632639171,0.3861346915261565,0.4841951294145008,-0.0831412318884412,1.5,3.0,-5.499999999999999,6.442049363362561,0
0.0,0.0,0.0,0.0,0.13,-7.06,98.0,-0.19,-0.69,0.06,0.06,0.21,0.35,0.4125530268947253,0.7181921748390189,0.5340522300892636,-0.1697782739683384,1.5,0.9999999999999994,-0.5000000000000004,1.8708286933869709,0
0.0,0.0,0.0,0.0,0.06,-7.06,97.87,0.06,-1.69,-0.25,0.0,0.13,0.3,0.3269556544854363,1.709444354168921,0.4089078289509254,-0.0,-3.0,-3.999999999999999,-2.5,5.590169943749474,0
0.0,0.0,0.0,0.0,359.94,-7.06,97.75,-0.13,-2.69,-0.13,0.11,0.13,0.34,0.3802630668366309,2.696275208505244,0.3489045796806962,-0.3129012278803844,5.5,0.0,2.0000000000000018,5.852349955359813,0
0.0,0.0,0.0,0.0,359.75,-7.06,97.69,-0.56,-4.0,-0.13,0.01,0.18,0.2,0.2692582403567252,4.04110133503232,0.7321943713006673,-0.0499583957219427,-5.0,2.5,-7.000000000000001,8.95823643358446,0
0.0,0.0,0.0,0.0,359.5,-7.12,97.56,-0.13,-5.31,-0.5,0.01,0.13,0.38,0.4017461885320133,5.335072633057585,0.3295184123566055,-0.0263097172529221,0.0,-2.5,9.0,9.340770846134705,0
0.0,0.0,0.0,0.0,359.19,-7.12,97.44,-0.37,-5.87,-0.37,-0.08,0.13,0.26,0.3014962686336267,5.893275829282047,0.4458032711161821,0.2984989315861793,-4.5,0.0,-6.0,7.5,0
0.0,0.0,0.0,0.0,358.81,-7.19,97.37,-0.5,-6.56,-0.81,-0.03,0.21,0.21,0.298496231131986,6.628702738847172,0.7803475724588205,0.1418970546041639,2.5,3.999999999999999,-2.500000000000001,5.338539126015656,0
0.0,0.0,0.0,0.0,358.5,-7.19,97.31,-0.69,-6.75,-1.12,-0.13,0.18,0.08,0.2360084744241189,6.876990620903885,0.8674536046756921,1.0191413442663495,-5.0,-1.5,-6.5,8.336666000266533,0
0.0,0.0,0.0,0.0,358.19,-7.19,97.31,-0.88,-7.31,-1.5,0.01,0.18,-0.18,0.2547547840571399,7.514020228878812,0.7846277470679457,-3.086094148344076,7.000000000000001,0.0,-13.0,14.7648230602334,0
0.0,0.0,0.0,0.0,357.25,-7.56,98.56,-0.13,-0.31,0.19,0.0,0.14,-0.35,0.3769615364994153,0.3861346915261565,0.3805063771123649,-3.141592653589793,-0.5,-1.999999999999999,-8.499999999999998,8.746427842267948,0
0.0,0.0,0.0,0.0,357.25,-7.56,98.62,-0.56,0.0,-0.19,-0.04,0.32,-0.5,0.5949789912257406,0.5913543776789009,0.5678658952322707,3.061762667877556,-2.0,9.0,-7.500000000000001,11.884864324004711,0
0.0,0.0,0.0,0.0,357.25,-7.56,98.69,0.25,1.06,0.19,0.08,0.17,-0.77,0.7925906888173744,1.105531546361297,0.2161660604128232,-3.038067979079249,6.0,-7.5,-13.5,16.56804152578089,0
0.0,0.0,0.0,0.0,357.31,-7.56,98.69,-0.62,-0.13,-0.13,-0.04,0.06,-0.96,0.9627045237246992,0.6466838485689897,0.0623648377107475,3.099950074491205,-6.0,-5.500000000000001,-9.499999999999996,12.509996003196802,0
0.0,0.0,0.0,0.0,357.31,-7.56,98.69,0.62,-0.13,0.0,-0.23,-0.03,-1.09,1.1144056711987786,0.6334824385884742,-0.0269234314197727,2.933634106336859,-9.5,-4.5,-6.500000000000005,12.359207094308278,0
0.0,0.0,0.0,0.0,357.37,-7.56,98.94,0.31,2.56,-0.19,-0.02,0.27,0.51,0.5774080013300821,2.5856913968994832,0.4865815796602035,0.0391956019270547,10.5,15.000000000000002,80.0,82.06856889211606,0
0.0,0.0,0.0,0.0,357.5,-7.5,98.94,1.31,1.44,0.13,0.36,-0.38,-0.67,0.8502352615599991,1.951050998820892,-0.4633362899222243,-2.648541756384982,19.0,-32.5,-59.00000000000001,69.98749888372923,0
0.0,0.0,0.0,0.0,357.56,-7.5,98.94,-0.31,1.37,0.31,-0.02,0.1,0.59,0.5987486951969081,1.4384366513684224,0.1678013416765209,0.0338853299041176,-19.0,24.0,63.0,70.04284403134984,0
0.0,0.0,0.0,0.0,357.62,-7.5,98.94,0.69,1.56,0.75,0.26,-0.11,0.67,0.7270488291717414,1.863384018392344,-0.1518798191477144,-0.3701708278422166,14.000000000000002,-10.5,4.000000000000004,17.951323071016244,0
0.0,0.0,0.0,0.0,357.81,-7.5,98.62,0.13,1.31,0.69,-0.2,0.09,0.55,0.5921148537234985,1.4863041411501214,0.1525889807121923,0.3487710035839069,-23.0,10.0,-6.0,25.78759391645525,0
0.0,0.0,0.0,0.0,357.87,-7.5,98.56,1.06,1.25,0.69,0.31,-0.26,0.22,0.4605431575867782,1.7782575741438584,-0.5998889089613391,-0.9536049352545344,25.5,-17.5,-16.500000000000004,35.05353049266222,0
0.0,0.0,0.0,0.0,0.25,-7.44,100.81,-0.06,0.31,0.25,-0.19,0.0,-0.31,0.3635931792539568,0.4027406113120453,0.0,2.5917394709132084,-25.0,13.0,-26.5,38.68139087468288,0
0.0,0.0,0.0,0.0,0.25,-7.44,100.94,-0.13,1.44,0.5,-0.05,0.1,-0.44,0.4539823785126466,1.529869275461142,0.2220941993179832,3.0284416719993086,7.000000000000001,5.0,-6.5,10.781929326423914,0
0.0,0.0,0.0,0.0,0.37,-7.5,101.12,0.13,3.44,0.81,-0.18,0.05,-0.83,0.8507643622061282,3.536467163710134,0.0588045648429347,2.928032220109305,-6.5,-2.5,-19.5,20.70627924084865,0
0.0,0.0,0.0,0.0,0.56,-7.5,101.12,0.13,4.25,0.88,0.27,0.01,-0.68,0.7317103251970688,4.342096267933266,0.0136670359506138,-2.76362434209352,22.5,-2.0,7.499999999999996,23.80126047082381,0
0.0,0.0,0.0,0.0,0.75,-7.44,101.31,-0.06,1.94,0.5,-0.11,0.11,-0.56,0.5812056434688156,2.0042953874117457,0.1904102586771087,2.9476335063299,-19.0,5.0,6.0,20.54263858417414,0
0.0,0.0,0.0,0.0,0.81,-7.44,101.31,0.06,1.06,0.31,0.01,0.04,-0.43,0.4319722213291035,1.1060289327137878,0.0927313910310664,-3.1183410307793302,6.0,-3.5000000000000004,6.500000000000003,9.513148795220223,0
0.0,0.0,0.0,0.0,0.81,-7.44,101.44,-0.06,0.37,0.13,-0.06,0.01,-0.22,0.2282542442102665,0.3967366884975474,0.0438248225224891,2.875340604438868,-3.5,-1.5,10.5,11.169153951844338,0
0.0,0.0,0.0,0.0,0.81,-7.44,101.5,-0.31,-0.69,-0.06,0.01,0.07,-0.2,0.2121320343559642,0.758814865431615,0.3362857406901404,-3.0916342578678506,3.5,3.0,0.9999999999999994,4.716990566028302,0
