temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
19.75,30.63,101575.66,-20.85,7.94,-6.94,101.31,-0.25,0.5,0.13,0.0,0.02,-0.43,0.4304648650006176,0.5739337940912698,0.0464781313510029,-3.141592653589793,6.0,-4.0,-1.0000000000000009,7.280109889280518,0
19.75,30.63,101575.66,-20.85,7.94,-6.94,101.44,-0.25,-0.25,-0.06,-0.02,0.1,-0.35,0.3645545226711636,0.3586084215408221,0.2778693925957223,3.0845118711835284,-1.0,4.0,4.000000000000001,5.7445626465380295,0
19.75,30.62,101572.66,-20.6,7.94,-6.94,101.56,-0.19,-0.88,-0.19,-0.03,0.03,-0.27,0.2733130073743289,0.9201086892318756,0.1099858737860146,3.0309354324158977,-0.4999999999999999,-3.5000000000000004,3.999999999999998,5.338539126015654,0
19.73,30.47,101575.77,-20.86,7.87,-6.94,99.37,-2.37,-7.12,-1.87,-0.16,0.32,-0.81,0.8854942122905153,7.733576145613361,0.3697476146595621,2.946572386184872,-6.5,14.500000000000002,-27.0,31.32890039564108,0
19.72,30.46,101573.58,-20.68,7.62,-6.94,99.44,-0.94,-5.0,-0.69,0.25,0.45,-0.27,0.5812916651733449,5.134169845262231,0.8853523151954567,-2.394637080213533,20.5,6.5,27.0,34.51811118818641,0
19.72,30.46,101573.58,-20.68,7.31,-7.0,99.37,0.62,-6.19,-0.44,0.19,0.0,-0.93,0.9492101980067428,6.236513449035448,0.0,-2.94006488585446,-3.0,-22.5,-33.0,40.05308976845607,0
19.73,30.47,101573.94,-20.7,6.94,-7.0,99.37,-0.88,-5.75,-0.81,-0.03,0.18,-0.68,0.7040596565632774,5.8730741524349925,0.2585304885471702,3.097503596191721,-11.0,9.0,12.5,18.9274932307477,0
19.73,30.47,101573.94,-20.7,6.69,-7.06,99.5,-1.25,-4.87,-1.44,0.05,0.18,-0.48,0.5150728103870365,5.230009560220708,0.3570002072179032,-3.0378003131327502,4.0,0.0,10.000000000000004,10.770329614269013,0
19.72,30.45,101574.08,-20.72,6.5,-7.06,99.5,0.13,-3.19,-0.62,0.15,0.05,-0.01,0.1584297951775486,3.252291499850528,0.3210859546531008,-1.6373644905707203,4.999999999999999,-6.5,23.5,24.88975692930728,0
19.72,30.45,101574.08,-20.72,6.31,-7.06,99.5,-0.44,-4.62,-0.25,0.21,0.09,-0.23,0.3241913015489465,4.647633806572975,0.2813094489525484,-2.401617769613922,3.0,2.0,-11.0,11.575836902790224,0
19.72,30.45,101573.55,-20.67,6.06,-7.0,99.56,0.06,-7.0,-1.12,-0.09,0.1,-0.2,0.241039415863879,7.0892876934146205,0.4277998200383959,2.7187387274568526,-15.0,0.5000000000000004,1.5,15.083103128998356,0
19.72,30.45,101573.55,-20.67,5.75,-7.0,99.56,0.06,-7.06,-1.37,-0.15,-0.26,0.34,0.4535416188179427,7.19194688523212,-0.6104863434911955,0.4154920959408906,-3.0,-18.0,27.0,32.58834147360065,0
19.72,30.46,101574.05,-20.71,5.37,-7.0,99.5,-0.88,-6.75,-1.06,-0.17,0.17,-0.09,0.2567099530598687,6.8891581488597,0.7237856038146512,2.0576955586061656,-1.0000000000000009,21.500000000000004,-21.500000000000004,30.42203149035252,0
19.72,30.46,101574.05,-20.71,5.06,-7.0,99.5,-0.88,-6.62,-1.37,0.04,0.0,0.24,0.2433105012119288,6.817308853205934,0.0,-0.1651486774146268,10.5,-8.5,16.499999999999996,21.32486811213612,0
19.71,30.34,101575.29,-20.82,359.81,-7.06,99.25,0.13,-9.69,-1.0,-0.58,-0.08,0.78,0.9752948272189288,9.742330316715812,-0.0821187416596645,0.6393859056861728,-31.0,-4.0,27.0,41.30375285612676,0
19.71,30.34,101575.29,-20.82,359.37,-7.0,99.19,-0.75,-7.62,-2.06,-0.21,0.28,-0.5,0.6103277807866851,7.92909200350204,0.4766102930395418,2.743964662067664,18.5,18.0,-64.0,69.00905737655022,0
19.71,30.42,101575.45,-20.83,359.12,-7.0,99.19,-1.5,-6.06,-1.5,0.36,0.32,-0.04,0.4833218389437828,6.420560723176753,0.7235970870313544,-1.6814535479687922,28.5,1.999999999999999,23.0,36.677649870186606,0
19.71,30.42,101575.45,-20.83,358.81,-7.0,99.19,0.06,-6.69,-0.94,-0.04,0.04,-0.55,0.5529014378711634,6.7559825340212365,0.0724088821112712,3.0689931998592987,-20.0,-14.000000000000002,-25.5,35.302266216207705,0
